UBERON:0000000	processual entity
UBERON:0000002	uterine cervix
UBERON:0000003	naris
UBERON:0000004	nose
UBERON:0000005	chemosensory organ
UBERON:0000006	islet of Langerhans
UBERON:0000007	pituitary gland
UBERON:0000009	submucosa
UBERON:0000010	peripheral nervous system
UBERON:0000012	somatic nervous system
UBERON:0000013	sympathetic nervous system
UBERON:0000014	zone of skin
UBERON:0000015	non-material anatomical boundary
UBERON:0000016	endocrine pancreas
UBERON:0000017	exocrine pancreas
UBERON:0000018	compound eye
UBERON:0000019	camera-type eye
UBERON:0000020	sense organ
UBERON:0000021	cutaneous appendage
UBERON:0000025	tube
UBERON:0000026	appendage
UBERON:0000029	lymph node
UBERON:0000030	lamina propria
UBERON:0000031	lamina propria of trachea
UBERON:0000033	head
UBERON:0000038	follicular fluid
UBERON:0000039	follicular antrum
UBERON:0000042	serous membrane
UBERON:0000043	tendon
UBERON:0000044	dorsal root ganglion
UBERON:0000045	ganglion
UBERON:0000047	simple eye
UBERON:0000052	fornix of brain
UBERON:0000054	macula
UBERON:0000055	vessel
UBERON:0000056	ureter
UBERON:0000057	urethra
UBERON:0000058	duct
UBERON:0000059	large intestine
UBERON:0000060	anatomical wall
UBERON:0000061	anatomical structure
UBERON:0000065	respiratory tract
UBERON:0000066	fully formed stage
UBERON:0000068	embryo stage
UBERON:0000071	death stage
UBERON:0000072	proximo-distal subdivision of respiratory tract
UBERON:0000073	regional part of nervous system
UBERON:0000074	renal glomerulus
UBERON:0000075	subdivision of skeletal system
UBERON:0000076	external ectoderm
UBERON:0000077	mixed endoderm/mesoderm-derived structure
UBERON:0000078	mixed ectoderm/mesoderm/endoderm-derived structure
UBERON:0000079	male reproductive system
UBERON:0000080	mesonephros
UBERON:0000081	metanephros
UBERON:0000083	mesonephric tubule
UBERON:0000084	ureteric bud
UBERON:0000085	morula
UBERON:0000086	zona pellucida
UBERON:0000087	inner cell mass
UBERON:0000088	trophoblast
UBERON:0000091	bilaminar disc
UBERON:0000092	post-embryonic stage
UBERON:0000094	membrane organ
UBERON:0000095	cardiac neural crest
UBERON:0000102	lung vasculature
UBERON:0000106	zygote stage
UBERON:0000107	cleavage stage
UBERON:0000108	blastula stage
UBERON:0000109	gastrula stage
UBERON:0000110	neurula stage
UBERON:0000111	organogenesis stage
UBERON:0000112	sexually immature stage
UBERON:0000113	post-juvenile adult stage
UBERON:0000114	lung connective tissue
UBERON:0000115	lung epithelium
UBERON:0000117	respiratory tube
UBERON:0000118	lung bud
UBERON:0000119	cell layer
UBERON:0000121	perineurium
UBERON:0000122	neuron projection bundle
UBERON:0000124	epineurium
UBERON:0000125	neural nucleus
UBERON:0000126	cranial nerve nucleus
UBERON:0000127	facial nucleus
UBERON:0000153	anterior region of body
UBERON:0000154	posterior region of body
UBERON:0000158	membranous layer
UBERON:0000159	anal canal
UBERON:0000160	intestine
UBERON:0000161	orifice
UBERON:0000162	cloaca
UBERON:0000163	embryonic cloaca
UBERON:0000164	primitive urogenital sinus
UBERON:0000165	mouth
UBERON:0000166	oral opening
UBERON:0000167	oral cavity
UBERON:0000168	proximal-distal subdivision of colon
UBERON:0000170	pair of lungs
UBERON:0000171	respiration organ
UBERON:0000173	amniotic fluid
UBERON:0000174	excreta
UBERON:0000178	blood
UBERON:0000179	haemolymphatic fluid
UBERON:0000203	pallium
UBERON:0000204	ventral part of telencephalon
UBERON:0000211	ligament
UBERON:0000304	tendon sheath
UBERON:0000305	amnion
UBERON:0000307	blastula
UBERON:0000309	body wall
UBERON:0000310	breast
UBERON:0000313	portion of cartilage tissue in tibia
UBERON:0000314	cecum mucosa
UBERON:0000315	subarachnoid space
UBERON:0000316	cervical mucus
UBERON:0000317	colonic mucosa
UBERON:0000320	duodenal mucosa
UBERON:0000323	late embryo
UBERON:0000325	gastric gland
UBERON:0000326	pancreatic juice
UBERON:0000328	gut wall
UBERON:0000331	ileal mucosa
UBERON:0000332	yellow bone marrow
UBERON:0000333	intestinal gland
UBERON:0000344	mucosa
UBERON:0000348	ophthalmic nerve
UBERON:0000349	limbic system
UBERON:0000351	nuchal ligament
UBERON:0000353	parenchyma
UBERON:0000355	pharyngeal mucosa
UBERON:0000358	blastocyst
UBERON:0000362	renal medulla
UBERON:0000365	urothelium
UBERON:0000369	corpus striatum
UBERON:0000375	mandibular nerve
UBERON:0000376	hindlimb stylopod
UBERON:0000377	maxillary nerve
UBERON:0000378	tongue muscle
UBERON:0000379	tracheal mucosa
UBERON:0000382	apocrine sweat gland
UBERON:0000383	musculature of body
UBERON:0000389	lens cortex
UBERON:0000390	lens nucleus
UBERON:0000391	leptomeninx
UBERON:0000395	cochlear ganglion
UBERON:0000397	colonic epithelium
UBERON:0000398	cartilage tissue of sternum
UBERON:0000399	jejunal mucosa
UBERON:0000400	jejunal epithelium
UBERON:0000402	nasal vestibule
UBERON:0000403	scalp
UBERON:0000407	sympathetic trunk
UBERON:0000409	serous gland
UBERON:0000410	bronchial mucosa
UBERON:0000412	dermal papilla
UBERON:0000414	mucous gland
UBERON:0000415	artery wall
UBERON:0000423	eccrine sweat gland
UBERON:0000428	prostate epithelium
UBERON:0000429	enteric plexus
UBERON:0000442	right testicular vein
UBERON:0000443	left testicular vein
UBERON:0000444	lymphoid follicle
UBERON:0000446	septum of telencephalon
UBERON:0000454	cerebral subcortex
UBERON:0000456	secretion of exocrine gland
UBERON:0000457	cavernous artery
UBERON:0000458	endocervix
UBERON:0000459	uterine wall
UBERON:0000463	organism substance
UBERON:0000464	anatomical space
UBERON:0000465	material anatomical entity
UBERON:0000466	immaterial anatomical entity
UBERON:0000467	anatomical system
UBERON:0000468	multicellular organism
UBERON:0000471	compound organ component
UBERON:0000473	testis
UBERON:0000474	female reproductive system
UBERON:0000475	organism subdivision
UBERON:0000476	acellular anatomical structure
UBERON:0000477	anatomical cluster
UBERON:0000478	extraembryonic structure
UBERON:0000481	multi-tissue structure
UBERON:0000483	epithelium
UBERON:0000484	simple cuboidal epithelium
UBERON:0000485	simple columnar epithelium
UBERON:0000486	multilaminar epithelium
UBERON:0000487	simple squamous epithelium
UBERON:0000488	atypical epithelium
UBERON:0000489	cavitated compound organ
UBERON:0000490	unilaminar epithelium
UBERON:0000912	mucus
UBERON:0000913	interstitial fluid
UBERON:0000915	thoracic segment of trunk
UBERON:0000916	abdomen
UBERON:0000922	embryo
UBERON:0000923	germ layer
UBERON:0000924	ectoderm
UBERON:0000925	endoderm
UBERON:0000926	mesoderm
UBERON:0000930	stomodeum
UBERON:0000931	proctodeum
UBERON:0000933	pharyngeal muscle
UBERON:0000941	cranial nerve II
UBERON:0000945	stomach
UBERON:0000947	aorta
UBERON:0000948	heart
UBERON:0000949	endocrine system
UBERON:0000951	rotator muscle of the vertebral column
UBERON:0000955	brain
UBERON:0000956	cerebral cortex
UBERON:0000957	lamina
UBERON:0000958	medulla of organ
UBERON:0000959	optic chiasma
UBERON:0000961	thoracic ganglion
UBERON:0000962	nerve of cervical vertebra
UBERON:0000963	head sensillum
UBERON:0000964	cornea
UBERON:0000965	lens of camera-type eye
UBERON:0000966	retina
UBERON:0000970	eye
UBERON:0000971	ommatidium
UBERON:0000974	neck
UBERON:0000975	sternum
UBERON:0000976	humerus
UBERON:0000977	pleura
UBERON:0000978	leg
UBERON:0000979	tibia
UBERON:0000981	femur
UBERON:0000982	skeletal joint
UBERON:0000983	metatarsus region
UBERON:0000985	axillary vein
UBERON:0000988	pons
UBERON:0000989	penis
UBERON:0000990	reproductive system
UBERON:0000991	gonad
UBERON:0000992	ovary
UBERON:0000993	oviduct
UBERON:0000995	uterus
UBERON:0000996	vagina
UBERON:0000997	mammalian vulva
UBERON:0000998	seminal vesicle
UBERON:0000999	ejaculatory duct
UBERON:0001000	vas deferens
UBERON:0001003	skin epidermis
UBERON:0001004	respiratory system
UBERON:0001005	respiratory airway
UBERON:0001007	digestive system
UBERON:0001008	renal system
UBERON:0001009	circulatory system
UBERON:0001013	adipose tissue
UBERON:0001015	musculature
UBERON:0001016	nervous system
UBERON:0001017	central nervous system
UBERON:0001018	axon tract
UBERON:0001019	nerve fasciculus
UBERON:0001021	nerve
UBERON:0001027	sensory nerve
UBERON:0001032	sensory system
UBERON:0001033	gustatory system
UBERON:0001037	strand of hair
UBERON:0001040	yolk sac
UBERON:0001041	foregut
UBERON:0001042	chordate pharynx
UBERON:0001043	esophagus
UBERON:0001044	saliva-secreting gland
UBERON:0001045	midgut
UBERON:0001046	hindgut
UBERON:0001048	primordium
UBERON:0001049	neural tube
UBERON:0001052	rectum
UBERON:0001054	Malpighian tubule
UBERON:0001062	anatomical entity
UBERON:0001064	ventral pancreatic duct
UBERON:0001066	intervertebral disk
UBERON:0001068	skin of back
UBERON:0001070	external carotid artery
UBERON:0001071	superficial cervical artery
UBERON:0001072	posterior vena cava
UBERON:0001073	ileocecal junction
UBERON:0001074	pericardial cavity
UBERON:0001075	bony vertebral centrum
UBERON:0001076	neural spine
UBERON:0001077	transverse process of vertebra
UBERON:0001081	endocardium of ventricle
UBERON:0001082	epicardium of ventricle
UBERON:0001083	myocardium of ventricle
UBERON:0001084	skin of head
UBERON:0001085	skin of trunk
UBERON:0001087	pleural fluid
UBERON:0001088	urine
UBERON:0001089	sweat
UBERON:0001090	synovial fluid
UBERON:0001091	calcareous tooth
UBERON:0001095	caudal vertebra
UBERON:0001096	wall of esophagus
UBERON:0001100	pectoralis minor
UBERON:0001105	clavicle bone
UBERON:0001112	latissimus dorsi muscle
UBERON:0001113	lobe of liver
UBERON:0001114	right lobe of liver
UBERON:0001115	left lobe of liver
UBERON:0001118	lobe of thyroid gland
UBERON:0001119	right lobe of thyroid gland
UBERON:0001120	left lobe of thyroid gland
UBERON:0001125	serratus ventralis
UBERON:0001130	vertebral column
UBERON:0001131	vertebral foramen
UBERON:0001132	parathyroid gland
UBERON:0001133	cardiac muscle tissue
UBERON:0001134	skeletal muscle tissue
UBERON:0001135	smooth muscle tissue
UBERON:0001136	mesothelium
UBERON:0001137	dorsum
UBERON:0001138	superior mesenteric vein
UBERON:0001140	renal vein
UBERON:0001141	right renal vein
