gene_collect,label
Kctd12,original
Npy5r,original
Traj41,original
Arsb,original
BCMA,original
AP002761.1,original
RPL32P17,original
Rdh19,original
AC104116.1,original
CT025624.1,original
ZNF416,original
STK10,original
SUMO2P2,original
Prpf39,original
Slit3,original
MIR4666A,original
OR5M10,original
Gm13605,original
Ndufa12,original
NAB1P1,original
AC023283.1,original
Npy,original
AC004765.1,original
TRUND-NNN8-1,original
AIH1,original
MTND4P15,original
RAB5CP1,original
Magea2,original
AC010969.2,original
SAPCD1-AS1,original
ACLS,original
TUBBP4,original
Gm38404,original
Gm7697,original
ERVFC1,original
GRM7,original
OTM,original
AL359502.1,original
HYDIN,original
Usp9y,original
AC123059.1,original
ELMO2,original
MTATP6P14,original
Sertad3,original
Olfr341,original
PDE7B,original
Gm15124,original
Olfr1248,original
SEC14L1P1,original
AL136369.1,original
Dph2,original
Rasgef1c,original
Gm43064,original
MTCO1P34,original
Cyp2j6,original
SPACA4,original
BC028471,original
Klra2,original
Gm13757,original
SPANXN1,original
Gkap1,original
RN7SKP157,original
Psph,original
COX19,original
Nfatc1,original
RNU6-517P,original
Tbx5,original
Gm9508,original
Myo18a,original
CNTN3,original
Dlx5,original
Ntm,original
HY,original
Elk1,original
MORC4,original
RNU7-30P,original
TOP2B,original
TMEM173,original
Csnk1d,original
RNU6-611P,original
4931414P19Rik,original
Fam240a,original
SPDYE9P,original
FAM27E2,original
OR4K3,original
1700104B16Rik,original
Trpm2,original
PPIAP74,original
Fam81b,original
RS1,original
RN7SL665P,original
TCP1P1,original
RN7SKP152,original
RPS9,original
ZNF257,original
AC096677.2,original
2310015D24Rik,original
Ckb,original
AC242988.1,original
GPR171,original
FBLN1,original
Tank,original
Slc4a4,original
Twist1,original
RPL6P25,original
Olfr1317,original
Chgb,original
Lrrc52,original
C530008M17Rik,original
PPIAL4C,original
Olfr1155,original
MIR6070,original
CHKB-CPT1B,original
AC008413.2,original
1700006E09Rik,original
TM4SF1,original
TSSK3,original
CT45A2,original
Zbtb38,original
RPL21P59,original
Kif13a,original
C15orf54,original
AC145350.4,original
Hs6st2,original
MRT27,original
Ogfod3,original
TRE-CTC17-1,original
UQCC6,original
AC010547.1,original
YBX1,original
KCTD17,original
AL136038.5,original
Gm28109,original
CA11,original
FRA15A,original
RNU1-68P,original
PGBD4P4,original
AC023043.4,original
ELOA3,original
Gm5458,original
GAPDHP34,original
Itm2a,original
BTBD9,original
Mier1,original
PKMP3,original
NDUFA5P11,original
LINC02157,original
AC002064.1,original
LINC02880,original
Klk15,original
Ywhaz,original
AC092805.1,original
SPOP,original
Gm29158,original
MIR1207,original
MT-TS1,original
MARK2P12,original
Igkv4-71,original
PDCD2L,original
