PMID	Species	Disease	Tissue_type	Evidence	Weight	Gene_name	Cell_name	context_background
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf	2	Gdnf	stromal cell	
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf, Developmental Biology,	2	Gdnf	stromal cell	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	GUDMAP also defined gene expression patterns of FACS purified specific cell types using transgenic mice with GFP reporter expression driven by Meis1 (stromal cells) (Brunskill and Potter, 2012a), Tie2 (endothelial cells) (Brunskill and Potter, 2010), Mafb (podocytes) (Brunskill et al., 2011), and Crym (cap mesenchyme) (Brunskill and Potter, 2012b).	2	Mafb & Crym & Meis1	FAC & stromal cell & endothelial cell & podocyte	Many compartments, however, include multiple cell types, confounding interpretation of results.. It was not clear which cell type expressed which gene.
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	Unexpectedly, we show that a subset of nephrogenic zone stromal cells strongly express Gdnf, a key driver of ureteric bud branching morphogenesis, previously thought to be expressed only by cap mesenchyme progenitor cells.	2	Gdnf	nephrogenic zone & stromal cell & cap mesenchyme	The process of multilineage priming was confirmed and extended to additional stages of nephrogenesis.. We also examined the growth factors and receptors expressed by the different cell types and defined potential compartment crosstalk interactions.
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	While several transcriptionally distinct cell populations were evident from these unsupervised analyses, such as Endothelial (Icam2 positive), Cap mesenchyme (Crym positive) and Uteric tip (Ret positive), a precise 1-to-1 mapping of distinct cell type predictions was not obtained.	2	Crym & Ret & Icam2	Endothelial	Generally similar states were captured by the Fluidigm and Chromium platforms as determined by t-SNE visualization, gene set enrichment analysis against the 16 Drop-Seq identified population markers and expression of previously defined embryonic kidney cell-type or compartmental specific marker genes ( Fig. 2B-C ) .. Importantly, no new additional populations could be identified using the software Seurat ( Macosko et al., 2015 ) applied to the Drop-Seq, Chromium or Fluidigm data ( data not shown ) .
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	While several transcriptionally distinct cell populations were evident from these unsupervised analyses, such as Endothelial (Icam2 positive), Cap mesenchyme (Crym positive) and Uteric tip (Ret positive), a precise 1-to-1 mapping of distinct cell type predictions was not obtained.	2	Crym & Ret & Icam2	Endothelial	Generally similar states were captured by the Fluidigm and Chromium platforms as determined by t-SNE visualization, gene set enrichment analysis against the 16 Drop-Seq identified population markers and expression of previously defined embryonic kidney cell-type or compartmental specific marker genes ( Fig. 2B-C ) .. Importantly, no new additional populations could be identified using the software Seurat ( Macosko et al., 2015 ) applied to the Drop-Seq, Chromium or Fluidigm data ( data not shown ) .
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	These analyses validate the specificity of Rprm expression in the ureteric tip, Pcp4 in podocytes, and Spock2 in the cap mesenchyme (Fig. 5 A-C).	2	Spock2 & Rprm & Pcp4	podocyte	Although we were unable to identify marker genes obtained by a single-platform that have well-documented cell specificity in the literature, many of the population specific genes identified were predicted to correspond to assigned population labels by ToppGene analysis ( Table S3 ) .. To evaluate the specificity of the scRNA-Seq predictions, we validated the expression patterns of multiple predicted markers by using immunofluorescence, the Allen Brain Atlas and GUDMAP public resources.
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	Penk and Alx1 showed strongest expression in the stromal cells flanking the collecting ducts, while Col6a1 showed a somewhat complementary expression pattern in the medullary stroma more distant from the collecting ducts (Fig. 5 F-H).	2	Alx1 & Penk & Col6a1	stromal cell	The c14 compartment contains the nephrogenic zone stroma cells, although genes associated with these cells show some variation in expression domains.. While CRABP1 is restricted to the nephrogenic zone stroma, Gpc3 was expressed at the highest level within the nephrogenic zone stroma but also at a lower level in the underlying cortical stroma region ( Fig. 5 D,E ) .
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	For example the interaction between SLIT2 in the collecting ducts and ROBO2 in the CM has been shown to be necessary for proper kidney development (Grieshammer et al., 2004).	2	SLIT2 & ROBO2	cap mesenchyme	In addition, the Cap Mesenchyme nephron progenitors show possible cross talk with the comma and S-shaped bodies through Rspondin1,3 or Lgr4,5 interactions.. Notably, while many of these cell-cell interactions are novel, multiple of these predicted interactions have been previously demonstrated.
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	It has also been shown that Robo2 is expressed within the CM and Slit2 is expressed within the collecting ducts (Grieshammer et al., 2004).	2	Slit2 & Robo2	cap mesenchyme	For example the interaction between SLIT2 in the collecting ducts and ROBO2 in the CM has been shown to be necessary for proper kidney development ( Grieshammer et al., 2004 ) .. In Slit2 null mice multiple ureteric budding events occur as opposed to a normal single budding event.
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	Surprisingly, from the cell-interaction analyses, Gdnf is predicted to have the most consistent and specific expression in nephrogenic zone stromal cells.	2	Gdnf	nephrogenic zone & stromal cell	In Slit2 null mice multiple ureteric budding events occur as opposed to a normal single budding event.. It has also been shown that Robo2 is expressed within the CM and Slit2 is expressed within the collecting ducts ( Grieshammer et al., 2004 ) .
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	First, the three scRNA-Seq technologies, Drop-Seq, Fluidigm and Chromium, all showed expression of Gdnf in stromal cells, as well as cap mesenchyme, providing cross platform validation (Fig. 4C).	2	Gdnf	stromal cell	This was surprising because the Cap Mesenchyme has historically been considered the sole source of GDNF ( Dressler, 2009;McMahon, 2016 ) .. We confirmed this unexpected finding in several ways.
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	An expanded view heatmap focusing on selected stromal and cap mesenchyme genes further illustrates the robust Gdnf expression in some stromal cells, often exceeding levels seen in cap mesenchyme cells (Fig. 7).	2	Gdnf	stromal cell & cap mesenchyme & stromal	We confirmed this unexpected finding in several ways.. First, the three scRNA-Seq technologies, Drop-Seq, Fluidigm and Chromium, all showed expression of Gdnf in stromal cells, as well as cap mesenchyme, providing cross platform validation ( Fig. 4C ) .
29183737	MOUSE	normal	kidney|mesenchyme|renal vesicle|nephron	To further confirm the expression of Gdnf in stromal cells we next examined public gene expression resources.	2	Gdnf	stromal cell	First, the three scRNA-Seq technologies, Drop-Seq, Fluidigm and Chromium, all showed expression of Gdnf in stromal cells, as well as cap mesenchyme, providing cross platform validation ( Fig. 4C ) .. An expanded view heatmap focusing on selected stromal and cap mesenchyme genes further illustrates the robust Gdnf expression in some stromal cells, often exceeding levels seen in cap mesenchyme cells ( Fig. 7 ) .
