PMID	Title	Date	Journal	Species	Disease	Tissue_type	Evidence	Weight	Gene_name	Cell_name	context_background	Evidence_clean	Predict_prob
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	We further confirmed this by Gdnf in situ hybridization coupled with IHC for MEIS1, a specific marker of the stromal lineage.	2	Gdnf & MEIS1	stromal lineage	To still further validate the expression of Gdnf by stromal cells we carried out double Gdnf in situ hybridization coupled with SIX2 or MEIS1 IHC.. Consistent with the Drop-Seq, Fluidigm and Chromium scRNA-Seq data, the Allen Brain Atlas in situ hybridization data, and the GUDMAP FACS or RNA-Seq data, we observed stromal cell expression of Gdnf in cells that were not SIX2 positive, and were therefore likely stromal cells ( Fig. 9D,E,E' ) .	far confirm by in situ hybridization couple immunohistochemistry for specific marker of stromal lineage	0.9996805191040039
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	For example, a fraction of cells that otherwise show very strong stromal type gene expression patterns nevertheless also show expression of Six2, a nephron progenitor marker, and similarly a significant fraction of cells that cluster well with nephron progenitors nevertheless express Foxd1, a classic marker of the stromal lineage (Fig. 7).	2	Six2 & Foxd1	nephron progenitor & stromal lineage	In this report we show that the nephrogenic zone stroma, as well as cap mesenchyme, both express Gdnf, blurring the functional boundary between these two compartments.. The scRNA-Seq data for E14.5 wild type developing kidneys consistently shows some clouding of the nephron or stromal lineage boundary.	for example fraction of cell strong stromal type gene expression pattern expression of nephron progenitor marker similarly significant fraction of cell cluster nephron progenitor express classic marker of stromal lineage 	0.9990782737731934
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	For example a small percent of cap mesenchyme cells expressed Mafb, a marker of differentiated podocytes.	2	Mafb	podocyte & cap mesenchyme cell	This study used Fluidigm C1 96 cell microfluidics or robotics technology, examining a relatively small number of cells.. Of interest, we observed that the early cap mesenchyme cells already showed stochastic expression of genes associated with differentiated cell types.	for example small percent of cap mesenchyme cell express marker of differentiate podocyte	0.9971157312393188
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Surprisingly, many cells that strongly clustered with the stromal cell compartment also showed robust Gdnf expression.	2	Gdnf	stromal cell compartment & stromal cell	Six2, Cited1 and Crym are markers of cap mesenchyme ( CM ) , while Meis1, Foxd1, Crabp1 and Aldh1a2 are expressed in stroma.. As expected, cells that clustered with cap mesenchyme as determined by these markers as well as complete gene expression signatures often showed expression of Gdnf.	surprisingly cell strongly cluster stromal cell compartment robust expression	0.0406159944832325
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	G': 40x view of Gdnf positive, MEIS1 positive cells.	2	Gdnf & MEIS1	MEIS1 positive cell	F: Gdnf ISH alone ( 20X ) .. G: Gdnf ISH and MEIS1 ( IHC ) double staining, showing the presence of Gdnf, MEIS1 double positive stroma cells.	g view of positive positive cell	0.025938600301742554
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Gdnf expression in stromal cells.	2	Gdnf	stromal cell	Arrowheads point to regions overlying ureteric tips, showing low levels of Gdnf expression.. Figure 9 .9Figure 9.	expression in stromal cell	0.021416759118437767
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	To still further validate the expression of Gdnf by stromal cells we carried out double Gdnf in situ hybridization coupled with SIX2 or MEIS1 IHC.	2	Gdnf & SIX2 & MEIS1	stromal cell	Of interest, the GUDMAP dataset showed the strongest Gdnf expression in the Meis1-GFP FACS purified stromal cell population, with cap mesenchyme cells showing the second highest expression.. GUDMAP therefore further verifies that Gdnf is expressed in both cap mesenchyme and stromal cells.	far validate expression of by stromal cell carry double in situ hybridization couple immunohistochemistry	0.01712392456829548
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	We observed that some of the MEIS1 positive cells indeed showed robust expression of Gdnf (Fig. 9F,G,G').	2	Gdnf & MEIS1	MEIS1 positive cell	Consistent with the Drop-Seq, Fluidigm and Chromium scRNA-Seq data, the Allen Brain Atlas in situ hybridization data, and the GUDMAP FACS or RNA-Seq data, we observed stromal cell expression of Gdnf in cells that were not SIX2 positive, and were therefore likely stromal cells ( Fig. 9D,E,E' ) .. We further confirmed this by Gdnf in situ hybridization coupled with IHC for MEIS1, a specific marker of the stromal lineage.	observe of positive cell robust expression of 	0.012537190690636635
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	Unexpectedly, we show that a subset of nephrogenic zone stromal cells strongly express Gdnf, a key driver of ureteric bud branching morphogenesis, previously thought to be expressed only by cap mesenchyme progenitor cells.	2	Gdnf	cap mesenchyme progenitor cell & nephrogenic zone stromal cell	The process of multilineage priming was confirmed and extended to additional stages of nephrogenesis.. We also examined the growth factors and receptors expressed by the different cell types and defined potential compartment crosstalk interactions.	unexpectedly subset of nephrogenic zone stromal cell strongly express key driver of ureteric bud branching morphogenesis previously think express by cap mesenchyme progenitor cell	0.009452732279896736
29183737	Cross-platform single cell analysis of kidney development shows stromal cells express Gdnf.	2018	Developmental biology	mouse	normal	kidney|mesenchyme	G: Gdnf ISH and MEIS1 (IHC) double staining, showing the presence of Gdnf, MEIS1 double positive stroma cells.	2	Gdnf & MEIS1	stroma cell	E': 40X view of Gdnf positive, SIX2 negative cells.. F: Gdnf ISH alone ( 20X ) .	g in situ hybridization double staining presence of double positive stroma cell	0.007307982072234154
