PMID	Title	Date	Journal	Species	Disease	Tissue_type	Evidence	Weight	Gene_name	Cell_name	context_background	Evidence_clean
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Anti-Ki-67 (1:100, Abcam, Cat#: ab15580), anti-BAX (1:200, Abcam, Cat#: ab32503) were used for immunohistochemistry.	2.0	Cat	Cat#	Paraffin sections were sequentially dewaxed, hydrated, and antigen repaired.. After blocking endogenous peroxidase activity with hydrogen peroxide for 10 minutes, tissue isolates were incubated with primary antibodies overnight at 4°C.	anti-ki-67 anti-bax use for immunohistochemistry
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Anti-Ki-67 (1:100, Abcam, Cat#: ab15580), anti-BAX (1:200, Abcam, Cat#: ab32503) were used for immunohistochemistry.	2.0	Cat	Cat#	Paraffin sections were sequentially dewaxed, hydrated, and antigen repaired.. After blocking endogenous peroxidase activity with hydrogen peroxide for 10 minutes, tissue isolates were incubated with primary antibodies overnight at 4°C.	anti-ki-67 anti-bax use for immunohistochemistry
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Fibroblasts, the central cells of fibrosis, had a reduced proportion after treatment and communication with other cells was impaired, particularly in the FGF2 signaling pathway.	2.6	FGF2	Fibroblast	Therefore, we applied scRNA-seq to capture transcriptional profile changes in keloids after TAC+5-FU injection treatment and concentrated on altered pathways involved in the fibrotic process, which could provide new molecular-level insights for understanding this treatment option.. In this study, we systematically evaluated the cellular composition alterations in keloids after TAC+5-FU injection treatment.	fibroblast central cell of fibrosis have reduce proportion treatment communication cell impaired particularly in signaling pathway
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	The FGF2 signaling pathway among fibroblasts was significantly inhibited in keloids treated with TAC+5-FU, suggesting that it may be a potential pathway target.	2.6	FGF2	fibroblast & TAC+5-FU	Fibroblasts, the central cells of fibrosis, had a reduced proportion after treatment and communication with other cells was impaired, particularly in the FGF2 signaling pathway.. FGF2 has a regulatory role in the formation of fibrotic disease, and aberrant expression of the FGF2 signaling pathway was reported in lung, liver, kidney, myocardial and skin fibrosis ( 43-45 ) .	signaling pathway fibroblast significantly inhibit in keloid treat tac+5-fu suggest potential pathway target
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Treatment of mesenchymal fibroblasts with neutralizing antibodies to POSTN, a marker gene for mesenchymal fibroblasts, significantly inhibited collagen synthesis (46).	2.6	POSTN	mesenchymal fibroblast	Moreover, the trend of differentiation toward mesenchymal fibroblasts was suppressed in treated keloids in pseudotime analysis.. Mesenchymal fibroblasts are highly expressed in genes related to ossification and osteogenesis and are a remarkably increased fibroblast subtype in keloids compared to normal scars ( 27 ) .	treatment of mesenchymal fibroblast neutralize antibody marker gene for mesenchymal fibroblast significantly inhibit collagen synthesis 
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Additionally, the expression of secretoglobulin family members SCGB2A2, SCGB1D2 and SCGB1B2P was upregulated after treatment in the T cell expression profile.	2.0	SCGB1B2P & SCGB2A2 & SCGB1D2	T cell	M2-type macrophages are essential cells that play a role in inducing fibrotic disease by secreting growth factors and regulating fibroblast proliferation and extracellular matrix synthesis ( 52 ) .. Our results also identified macrophages in the subpopulation identification of the mononuclear phagocyte system and had the characteristics of M2-type macrophages, which is consistent with previous reports.	additionally expression of secretoglobulin family member upregulate treatment in t cell expression profile
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Fibroblasts, the central cells of fibrosis, had a reduced proportion after treatment and communication with other cells was impaired, particularly in the FGF2 signaling pathway.	2.6	FGF2	Fibroblast	Therefore, we applied scRNA-seq to capture transcriptional profile changes in keloids after TAC+5-FU injection treatment and concentrated on altered pathways involved in the fibrotic process, which could provide new molecular-level insights for understanding this treatment option.. In this study, we systematically evaluated the cellular composition alterations in keloids after TAC+5-FU injection treatment.	fibroblast central cell of fibrosis have reduce proportion treatment communication cell impaired particularly in signaling pathway
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	The FGF2 signaling pathway among fibroblasts was significantly inhibited in keloids treated with TAC+5-FU, suggesting that it may be a potential pathway target.	2.6	FGF2	fibroblast & TAC+5-FU	Fibroblasts, the central cells of fibrosis, had a reduced proportion after treatment and communication with other cells was impaired, particularly in the FGF2 signaling pathway.. FGF2 has a regulatory role in the formation of fibrotic disease, and aberrant expression of the FGF2 signaling pathway was reported in lung, liver, kidney, myocardial and skin fibrosis ( 43-45 ) .	signaling pathway fibroblast significantly inhibit in keloid treat tac+5-fu suggest potential pathway target
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Treatment of mesenchymal fibroblasts with neutralizing antibodies to POSTN, a marker gene for mesenchymal fibroblasts, significantly inhibited collagen synthesis (46).	2.6	POSTN	mesenchymal fibroblast	Moreover, the trend of differentiation toward mesenchymal fibroblasts was suppressed in treated keloids in pseudotime analysis.. Mesenchymal fibroblasts are highly expressed in genes related to ossification and osteogenesis and are a remarkably increased fibroblast subtype in keloids compared to normal scars ( 27 ) .	treatment of mesenchymal fibroblast neutralize antibody marker gene for mesenchymal fibroblast significantly inhibit collagen synthesis 
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Additionally, the expression of secretoglobulin family members SCGB2A2, SCGB1D2 and SCGB1B2P was upregulated after treatment in the T cell expression profile.	2.0	SCGB1B2P & SCGB2A2 & SCGB1D2	T cell	M2-type macrophages are essential cells that play a role in inducing fibrotic disease by secreting growth factors and regulating fibroblast proliferation and extracellular matrix synthesis ( 52 ) .. Our results also identified macrophages in the subpopulation identification of the mononuclear phagocyte system and had the characteristics of M2-type macrophages, which is consistent with previous reports.	additionally expression of secretoglobulin family member upregulate treatment in t cell expression profile
37275903	Deciphering the single-cell transcriptome network in keloids with intra-lesional injection of triamcinolone acetonide combined with 5-fluorouracil.	2023	Frontiers in immunology	human	KELOIDS	skin|dermi	Expression of pro-inflammatory fibroblast markers (CCL19, CXCL2, CXCL3) was concentrated in cluster 2 (Figure S2A), where the upregulated genes were significantly associated with inflammatory response (Figure 2C).	2.6	CXCL2 & CCL19 & CXCL3	fibroblast	To determine the specific functions of the different clusters, we performed enrichment analysis of upregulated genes ( Figure 2C ) and examined the expression of markers ( Figure S2A ) for the four identified fibroblast subpopulations ( mesenchymal fibroblasts, pro-inflammatory fibroblasts, secretory-papillary fibroblasts and secretory-reticular fibroblasts ) ( 27 ) .. Cluster 1 was characterized by the expression of genes associated with epidermal development ( Figure 2C ) including KRTDAP, KRT1, and KRT10 ( Figure S2B ) .	expression of pro-inflammatory fibroblast marker concentrate in cluster upregulate gene significantly associate inflammatory response 
